 % acoustic_params.win_size: 1024
 % acoustic_params.hop_size: 512
 % acoustic_params.min_freq: 86
 % acoustic_params.max_freq: 2000
 % acoustic_params.num_mel_filts: 20
 % acoustic_params.ITW: 1
@relation train_feature_001-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,}

@data
0.55307,0.83282,1,0.96932,0.72958,0.8943,0.78981,0.69737,0.70544,0.44434,0.39079,0.32047,0.19061,0.12915,0.034024,0.0166,0.017994,0.035126,0.028833,0,0.8869,0.52467,0.48229,1,0.59233,0.3099,0.6096,0.059562,0.36566,0.11247,0.38829,0.36103,0.39801,0.57194,0.067034,0,0.18726,0.24648,0.2011,0.39339,1
0.22005,0.718,1,0.96787,0.39416,0.73735,0.61304,0.4175,0.77823,0.61667,0.43805,0.40622,0.27464,0.31227,0.13037,0.14712,0.055748,0.083661,0.017954,0,0.12563,0.047633,0.21986,0.41718,0.084318,0.1224,0.18034,0,0.26033,0.73847,1,0.65346,0.67142,0.78254,0.59753,0.47846,0.6904,0.33943,0.70062,0.32497,1
0.86962,0.93465,0.97639,1,0.52235,0.501,0.48518,0.35782,0.36872,0.34371,0.3519,0.35057,0.31656,0.26306,0.061923,0.1366,0.11637,0.10093,0.05027,0,0,0.33487,0.89869,1,0.82437,0.62444,0.24492,0.25362,0.54264,0.35421,0.57,0.30888,0.45363,0.50848,0.68955,0.44173,0.67612,0.49773,0.45061,0.37655,1
1,0.70327,0.61953,0.74455,0.51816,0.30977,0.34241,0.34841,0.3205,0.37391,0.31461,0.29735,0.42231,0.37912,0.13853,0.21296,0.13537,0.013523,0,0.060728,0.21938,0.045743,0.38575,0.29462,0.23769,0.1261,0.88768,0.73686,1,0.49754,0.12359,0.15228,0.23885,0.18636,0.68086,0.11615,0.57166,0.40541,0,0.55017,1
1,0.75465,0.6565,0.77907,0.53708,0.31583,0.38011,0.36683,0.34603,0.36538,0.3495,0.31476,0.39328,0.37213,0.10594,0.20035,0.17604,0.046664,0,0.12632,0.40836,0.11176,0.68527,0.51461,0.70735,0.66459,0.84203,1,0.91295,0.6124,0.71984,0.73152,0.43389,0.4207,0.56628,0,0.2103,0.19727,0.82492,0.97803,1
0.74151,0.48125,0.58314,1,0.81808,0.5089,0.37077,0.51947,0.66782,0.51136,0.43646,0.49898,0.48785,0.38621,0.21594,0.33364,0.25115,0.18194,0,0.0055927,0.44653,0.54968,0,0.1409,0.24165,0.55805,0.44841,0.5315,0.52074,0.93657,0.60336,0.75271,0.77521,0.78312,0.78689,1,0.63174,0.39451,0.52134,0.57888,1
0.33245,0.43958,0.79947,1,0.69948,0.6352,0.67888,0.70355,0.386,0.33811,0.30342,0.23342,0.20498,0.26253,0.23461,0.12464,0.14135,0.11263,0.09969,0,0.63473,0.83055,0.76243,0.44086,0.37996,0.7689,1,0.75545,0.22464,0.81936,0.64159,0.84227,0.80087,0.93325,0.87107,0.47911,0.30221,0.60863,0,0.41603,1
0.42777,0.59817,0.93072,1,0.61696,0.59676,0.71726,0.592,0.39188,0.41022,0.34689,0.31323,0.31536,0.29656,0.20866,0.11815,0.098731,0.062198,0.043068,0,1,0.71797,0,0.33404,0.74396,0.22341,0.18744,0.080369,0.51397,0.51135,0.25062,0.67067,0.54007,0.80691,0.16623,0.30014,0.34615,0.38619,0.17676,0.63716,1
1,0.78478,0.82224,0.92895,0.71672,0.40866,0.4074,0.40094,0.44677,0.45252,0.30119,0.25342,0.47262,0.40095,0.016895,0.20527,0.1182,0.035719,0,0.087324,0.37626,0.38402,0.52465,0.6002,0.6845,0.78961,0.74264,0.52852,0.18009,0.23746,0.55976,0.40844,0.71009,0.5082,0.78226,0.62118,0.10282,0,1,0.56304,1
1,0.76403,0.75905,0.90713,0.70035,0.43765,0.43949,0.48284,0.47124,0.36375,0.27943,0.22724,0.48466,0.41429,0.14936,0.25444,0.14297,0.084678,0,0.083407,0.36663,0.58672,0.34119,0.48974,0.59973,0.57873,0.14049,0.16128,0.2679,0.37126,0,0.27574,0.78471,0.6447,0.49111,1,0.46354,0.81177,0.64284,0.71332,1
0.58408,0.47672,0.74955,1,0.82998,0.30929,0.44959,0.533,0.42885,0.4277,0.33952,0.25064,0.37065,0.31039,0.050357,0.077023,0.035036,0.032829,0.013649,0,0.87972,0.53065,1,0.52001,0.2565,0,0.79531,0.62457,0.4108,0.34729,0.81316,0.34757,0.68991,0.81498,0.33833,0.31721,0.61364,0.52692,0.054279,0.079008,1
0.13893,0.037767,0.64021,1,0.8948,0.3115,0.37242,0.4058,0.3569,0.28492,0.1863,0.12931,0.17629,0.064216,0.001011,0,0.029101,0.07013,0.12238,0.13575,0.71968,0.75291,1,0.63724,0.43969,0.38156,0.4574,0.047635,0.024929,0.45563,0.64992,0.67193,0.38746,0.06148,0,0.99721,0.74212,0.95711,0.66774,0.37699,1
